,date,market-price,difficulty,total-bitcoins,blocks-size,market-cap,open,high,low,close,volume,Number of Trades,TB Base Volume,close_nextday
332,2019-06-30,11890.38,7934713219631.0,17789275.0,227624.632208,208401356625.0,11903.13,12180.0,10766.03,10854.1,84512.530443,711267,42697.44,10624.93
333,2019-07-01,10737.73,7934713219631.0,17791487.5,227777.150148,188225042006.25,10854.1,11282.28,10030.0,10624.93,90962.268271,757458,44210.988365,10842.85
334,2019-07-02,10578.72,7934713219631.0,17793700.0,227957.952667,190348105750.0,10624.9,10938.75,9727.0,10842.85,109561.038728,870148,54998.503606,11940.0
335,2019-07-03,10805.4,7934713219631.0,17795912.5,228153.61811,200435362487.5,10844.98,11991.89,10841.04,11940.0,96815.90029,814754,49613.616744,11145.67
336,2019-07-04,11984.76,7934713219631.0,17798137.5,228357.70459,207226826370.995,11940.0,12000.0,11055.0,11145.67,66512.221892,643867,33626.851862,10970.73
337,2019-07-05,11160.49,7934713219631.0,17800350.0,228548.087572,200253937500.0,11145.67,11406.83,10796.44,10970.73,63534.350582,564857,32306.914259,11256.49
338,2019-07-06,10955.16,7934713219631.0,17802575.0,228742.172631,206705698325.0,10982.41,11665.0,10964.51,11256.49,51469.496331,470692,25601.989482,12238.6
339,2019-07-08,11477.01,7934713219631.0,17804787.5,229048.63055,205591881262.5,11410.0,12338.03,11220.0,12238.6,52182.367215,507860,27740.09749,12543.41
340,2019-07-09,12313.08,8587445349569.57,17807037.5,229238.101719,219676518118.75,12238.6,12794.73,12068.0,12543.41,78442.130343,660273,40993.911974,12108.37
341,2019-07-10,12586.78,9064159826491.0,17809262.5,229415.925063,233265720225.0,12548.51,13147.08,11569.0,12108.37,109246.044997,899391,46964.760907,11342.89
342,2019-07-11,12099.9,9064159826491.0,17811475.0,229579.90479,204484638737.5,12108.11,12111.73,11000.0,11342.89,87506.461058,760057,43714.15617,11757.22
343,2019-07-12,11352.87,9064159826491.0,17813712.5,229741.61774,205374291412.5,11342.88,11885.0,11073.0,11757.22,56321.858281,537561,30291.119356,10174.18
344,2019-07-14,11389.1,9064159826491.0,17815925.0,230091.477372,194184674537.5,11355.78,11452.0,10103.0,10174.18,72517.579236,649043,35853.69216,10838.72
345,2019-07-15,10186.96,9064159826491.0,17818137.5,230229.655006,179027736531.25,10174.18,11100.0,9860.0,10838.72,81922.426332,732206,41714.189655,9439.59
346,2019-07-16,10873.5,9064159826491.0,17820350.0,230395.555516,191729145650.0,10833.78,11028.0,9350.01,9439.59,97219.443413,796646,47295.944048,9667.92
347,2019-07-17,9397.72,9064159826491.0,17822587.5,230573.57323,167228833254.427,9430.17,9957.0,9060.0,9667.92,84942.672717,757742,43073.115146,10504.29
348,2019-07-19,10638.56,9064159826491.0,17824800.0,230879.587951,188933967600.0,10628.64,10769.71,10121.84,10504.29,56546.932133,567735,29070.357474,10740.23
349,2019-07-20,10535.75,9064159826491.0,17827012.5,231028.640906,187406468906.25,10505.78,11068.99,10350.0,10740.23,47331.899848,461660,25003.62155,10589.45
350,2019-07-21,10764.9,9064159826491.0,17829237.5,231213.438146,189177124493.75,10740.27,10817.9,10288.0,10589.45,38834.287935,395452,20345.527384,10340.31
351,2019-07-22,10587.41,9064159826491.0,17831450.0,231346.209473,188317943450.0,10590.15,10683.16,10100.0,10340.31,40467.954839,389565,19335.4119,9864.91
352,2019-07-23,10323.62,9033161130737.77,17833687.5,231504.899783,177828614906.25,10343.08,10343.97,9822.0,9864.91,47624.37071,448147,24082.309129,9763.28
353,2019-07-24,9844.3,9013786945892.0,17835900.0,231662.759248,171759717000.0,9864.78,9937.0,9525.0,9763.28,43475.380377,424762,21963.773537,9824.0
354,2019-07-26,9875.17,9013786945892.0,17838125.0,231986.617108,172994136250.0,9882.15,9889.98,9637.0,9824.0,27167.463217,299935,14006.629434,9476.52
355,2019-07-27,9848.65,9013786945892.0,17840337.5,232145.496258,180927782756.25,9824.0,10188.66,9333.0,9476.52,43809.778301,401418,21428.052318,9541.54
356,2019-07-28,9473.99,9013786945892.0,17842550.0,232275.805003,169254429300.0,9478.92,9594.99,9165.0,9541.54,29401.022937,271327,17116.433132,9507.64
357,2019-07-29,9530.0,9013786945892.0,17844775.0,232398.847499,171229538512.5,9541.54,9729.0,9395.0,9507.64,29021.937411,294468,16075.166971,9574.21
358,2019-07-30,9501.33,9013786945892.0,17847012.5,232560.532224,170224805225.0,9509.07,9714.28,9402.0,9574.21,32536.368834,283961,17211.009653,10080.53
359,2019-07-31,9589.13,9013786945892.0,17849225.0,232725.742539,178715365312.5,9575.0,10109.8,9555.0,10080.53,39515.35456,364212,21235.609604,10374.99
360,2019-08-01,10084.7,9013786945892.0,17851450.0,232898.747652,179496329750.0,10080.53,10467.86,9863.46,10374.99,41727.637028,378062,22244.919467,10523.75
361,2019-08-02,10407.17,9013786945892.0,17853662.5,233061.921533,186499358475.0,10375.0,10670.0,10281.35,10523.75,42990.444221,431322,22206.135093,10929.23
362,2019-08-04,10814.57,9013786945892.0,17855887.5,233382.103548,193906010306.25,10816.86,11040.0,10552.0,10929.23,39924.745141,353721,22066.368257,11828.8
363,2019-08-05,10980.23,9890230141833.76,17858112.5,233521.044438,196216011093.75,10929.99,11937.52,10927.8,11828.8,65153.673713,622610,33530.07066,11481.69
364,2019-08-06,11787.99,9985348008060.0,17860362.5,233689.600826,208510802006.25,11830.0,12330.7,11226.7,11481.69,76705.389875,625827,37522.116972,11975.03
365,2019-08-07,11465.67,9985348008060.0,17862575.0,233874.106784,207839991412.5,11481.69,12141.17,11382.84,11975.03,69173.390353,592916,36357.225918,11999.77
366,2019-08-08,11960.82,9985348008060.0,17864800.0,234047.69469,211519232000.0,11975.04,12060.0,11521.0,11999.77,51207.257174,473584,27463.200763,11879.99
367,2019-08-09,11996.41,9985348008060.0,17867037.5,234223.828708,210134228037.5,11994.17,12045.68,11700.0,11879.99,39427.152588,410902,20074.421911,11549.97
368,2019-08-11,11282.22,9985348008060.0,17869250.0,234531.074776,202154825250.0,11309.24,11600.0,11112.11,11549.97,26772.90691,306234,15007.4382,11396.08
369,2019-08-12,11566.84,9985348008060.0,17871475.0,234652.174757,204914332350.0,11539.08,11577.89,11235.32,11396.08,17568.227075,255966,9200.430879,10892.71
